group,kind,level,method,cls,mean_case_dice,cases,case_values
training,clean,0,neural,attached_2d,0.9696078562306369,4,"{'Case_13': 0.9897120933182754, 'Case_14': 0.9788029925187033, 'Case_16': 0.9766845510493924, 'Case1LES': 0.9332317880361771}"
training,clean,0,neural,disconnected_2d,0.9235847815200049,4,"{'Case_13': 0.9739663093415007, 'Case_14': 0.952755905511811, 'Case_16': 0.8804878048780488, 'Case1LES': 0.887129106348659}"
training,clean,0,raster4,attached_2d,0.9934971969636932,4,"{'Case_13': 1.0, 'Case_14': 1.0, 'Case_16': 1.0, 'Case1LES': 0.9739887878547727}"
training,clean,0,raster4,disconnected_2d,0.9894963127869765,4,"{'Case_13': 1.0, 'Case_14': 1.0, 'Case_16': 1.0, 'Case1LES': 0.9579852511479059}"
training,clean,0,raster8,attached_2d,0.9797184059241937,4,"{'Case_13': 1.0, 'Case_14': 1.0, 'Case_16': 1.0, 'Case1LES': 0.9188736236967748}"
training,clean,0,raster8,disconnected_2d,0.9614551312914337,4,"{'Case_13': 1.0, 'Case_14': 1.0, 'Case_16': 1.0, 'Case1LES': 0.8458205251657346}"
training,coarse,2,neural,attached_2d,0.9654692518209225,4,"{'Case_13': 0.98745467170743, 'Case_14': 0.9743837269436304, 'Case_16': 0.9724251708696677, 'Case1LES': 0.927613437762962}"
training,coarse,2,neural,disconnected_2d,0.922019861213239,4,"{'Case_13': 0.9723926380368099, 'Case_14': 0.9411764705882353, 'Case_16': 0.8949320148331273, 'Case1LES': 0.8795783213947831}"
training,coarse,2,raster4,attached_2d,0.944919057108048,4,"{'Case_13': 0.980932861312962, 'Case_14': 0.967379890864648, 'Case_16': 0.9614961496149615, 'Case1LES': 0.8698673266396203}"
training,coarse,2,raster4,disconnected_2d,0.8127641559484307,4,"{'Case_13': 0.9127105666156202, 'Case_14': 0.8888888888888888, 'Case_16': 0.6890424481737414, 'Case1LES': 0.7604147201154721}"
training,coarse,2,raster8,attached_2d,0.9390186937513326,4,"{'Case_13': 0.980932861312962, 'Case_14': 0.967379890864648, 'Case_16': 0.9614961496149615, 'Case1LES': 0.8462658732127587}"
training,coarse,2,raster8,disconnected_2d,0.7841699213380224,4,"{'Case_13': 0.9127105666156202, 'Case_14': 0.8888888888888888, 'Case_16': 0.6890424481737414, 'Case1LES': 0.646037781673839}"
